patient,weight,acc,n_cal,n_test
patient11,1.0,0.6410256410256411,432,117
patient11,10.0,0.6666666666666666,432,117
patient11,100.0,0.6752136752136753,432,117
patient11,1000.0,0.6837606837606838,432,117
patient12,0.0,0.9914529914529915,432,117
patient12,1.0,0.8717948717948718,432,117
patient12,10.0,0.9743589743589743,432,117
patient12,100.0,0.9914529914529915,432,117
patient12,1000.0,0.9914529914529915,432,117
patient13,0.0,0.9572649572649573,432,117
patient13,1.0,0.9743589743589743,432,117
patient13,10.0,1.0,432,117
patient13,100.0,1.0,432,117
patient13,1000.0,1.0,432,117
patient14,0.0,0.5555555555555556,432,117
patient14,1.0,0.6495726495726496,432,117
patient14,10.0,0.6752136752136753,432,117
patient14,100.0,0.6837606837606838,432,117
patient14,1000.0,0.6752136752136753,432,117
patient15,0.0,1.0,432,117
patient15,1.0,0.9572649572649573,432,117
patient15,10.0,1.0,432,117
patient15,100.0,1.0,432,117
patient15,1000.0,1.0,432,117
patient16,0.0,0.9914529914529915,432,117
patient16,1.0,0.8290598290598291,432,117
patient16,10.0,0.9230769230769231,432,117
patient16,100.0,0.9316239316239316,432,117
patient16,1000.0,0.9487179487179487,432,117
patient17,0.0,0.9572649572649573,432,117
patient17,1.0,0.7948717948717948,432,117
patient17,10.0,0.9145299145299145,432,117
patient17,100.0,0.9743589743589743,432,117
patient17,1000.0,0.9743589743589743,432,117
patient18,0.0,0.8632478632478633,432,117
patient18,1.0,0.8717948717948718,432,117
patient18,10.0,0.8547008547008547,432,117
patient18,100.0,0.8205128205128205,432,117
patient18,1000.0,0.6923076923076923,432,117
patient19,0.0,0.9658119658119658,432,117
patient19,1.0,0.8290598290598291,432,117
patient19,10.0,0.8632478632478633,432,117
patient19,100.0,0.8974358974358975,432,117
patient19,1000.0,0.8803418803418803,432,117
patient20,0.0,0.8803418803418803,432,117
patient20,1.0,0.9401709401709402,432,117
patient20,10.0,0.9572649572649573,432,117
patient20,100.0,0.9829059829059829,432,117
patient20,1000.0,0.9914529914529915,432,117
patient21,0.0,0.9572649572649573,432,117
patient21,1.0,0.9145299145299145,432,117
patient21,10.0,0.9572649572649573,432,117
patient21,100.0,0.9658119658119658,432,117
patient21,1000.0,0.9572649572649573,432,117
patient22,0.0,0.8461538461538461,432,117
patient22,1.0,0.8974358974358975,432,117
patient22,10.0,0.9572649572649573,432,117
patient22,100.0,0.9658119658119658,432,117
patient22,1000.0,0.9829059829059829,432,117
patient23,0.0,0.9230769230769231,432,117
patient23,1.0,0.8034188034188035,432,117
patient23,10.0,0.8974358974358975,432,117
patient23,100.0,0.9230769230769231,432,117
patient23,1000.0,0.9743589743589743,432,117
patient24,0.0,0.8888888888888888,432,117
patient24,1.0,0.7863247863247863,432,117
patient24,10.0,0.8290598290598291,432,117
patient24,100.0,0.8717948717948718,432,117
patient24,1000.0,0.8376068376068376,432,117
patient25,0.0,0.7094017094017094,432,117
patient25,1.0,0.6239316239316239,432,117
patient25,10.0,0.7350427350427351,432,117
patient25,100.0,0.717948717948718,432,117
patient25,1000.0,0.7094017094017094,432,117
patient26,0.0,0.9145299145299145,432,117
patient26,1.0,0.7350427350427351,432,117
patient26,10.0,0.8974358974358975,432,117
patient26,100.0,0.9487179487179487,432,117
patient26,1000.0,0.9230769230769231,432,117
patient27,0.0,0.9829059829059829,432,117
patient27,1.0,0.9230769230769231,432,117
patient27,10.0,0.9658119658119658,432,117
patient27,100.0,0.9914529914529915,432,117
patient27,1000.0,0.9743589743589743,432,117
patient28,0.0,0.9829059829059829,432,117
patient28,1.0,0.9914529914529915,432,117
patient28,10.0,1.0,432,117
patient28,100.0,0.9914529914529915,432,117
patient28,1000.0,1.0,432,117
patient29,0.0,0.9572649572649573,432,117
patient29,1.0,0.7863247863247863,432,117
patient29,10.0,0.9316239316239316,432,117
patient29,100.0,0.9829059829059829,432,117
patient29,1000.0,0.9829059829059829,432,117
patient30,0.0,0.9658119658119658,432,117
patient30,1.0,0.8717948717948718,432,117
patient30,10.0,0.905982905982906,432,117
patient30,100.0,0.9487179487179487,432,117
patient30,1000.0,0.9316239316239316,432,117
patient31,0.0,0.8803418803418803,432,117
patient31,1.0,0.8803418803418803,432,117
patient31,10.0,0.9145299145299145,432,117
patient31,100.0,0.8717948717948718,432,117
patient31,1000.0,0.8803418803418803,432,117
patient32,0.0,0.7435897435897436,432,117
patient32,1.0,0.7692307692307693,432,117
patient32,10.0,0.7435897435897436,432,117
patient32,100.0,0.7350427350427351,432,117
patient32,1000.0,0.717948717948718,432,117
patient33,0.0,0.9572649572649573,432,117
patient33,1.0,0.6923076923076923,432,117
patient33,10.0,0.8547008547008547,432,117
patient33,100.0,0.8376068376068376,432,117
patient33,1000.0,0.8205128205128205,432,117
patient34,0.0,0.8717948717948718,432,117
patient34,1.0,0.8717948717948718,432,117
patient34,10.0,0.9145299145299145,432,117
patient34,100.0,0.9230769230769231,432,117
patient34,1000.0,0.9487179487179487,432,117
patient35,0.0,0.6495726495726496,432,117
patient35,1.0,0.5641025641025641,432,117
patient35,10.0,0.6666666666666666,432,117
patient35,100.0,0.7094017094017094,432,117
patient35,1000.0,0.6923076923076923,432,117
patient36,0.0,0.9743589743589743,432,117
patient36,1.0,0.7435897435897436,432,117
patient36,10.0,0.9316239316239316,432,117
patient36,100.0,0.9401709401709402,432,117
patient36,1000.0,0.9487179487179487,432,117
patient37,0.0,1.0,432,117
patient37,1.0,0.9145299145299145,432,117
patient37,10.0,0.9658119658119658,432,117
patient37,100.0,0.9829059829059829,432,117
patient37,1000.0,1.0,432,117
patient38,0.0,0.9914529914529915,432,117
patient38,1.0,0.6752136752136753,432,117
patient38,10.0,0.7606837606837606,432,117
patient38,100.0,0.8632478632478633,432,117
patient38,1000.0,0.905982905982906,432,117
patient39,0.0,0.8803418803418803,432,117
patient39,1.0,0.7777777777777778,432,117
patient39,10.0,0.8717948717948718,432,117
patient39,100.0,0.8888888888888888,432,117
patient39,1000.0,0.8290598290598291,432,117
patient40,0.0,0.9316239316239316,432,117
patient40,1.0,0.8034188034188035,432,117
patient40,10.0,0.9145299145299145,432,117
patient40,100.0,0.9658119658119658,432,117
patient40,1000.0,0.9487179487179487,432,117
patient41,0.0,0.5384615384615384,432,117
patient41,1.0,0.6666666666666666,432,117
patient41,10.0,0.6581196581196581,432,117
patient41,100.0,0.6324786324786325,432,117
patient41,1000.0,0.6068376068376068,432,117
patient42,0.0,0.9487179487179487,432,117
patient42,1.0,0.8461538461538461,432,117
patient42,10.0,0.8974358974358975,432,117
patient42,100.0,0.9316239316239316,432,117
patient42,1000.0,0.9145299145299145,432,117
patient43,0.0,0.9487179487179487,432,117
patient43,1.0,0.9572649572649573,432,117
patient43,10.0,0.9743589743589743,432,117
patient43,100.0,0.9743589743589743,432,117
patient43,1000.0,0.9658119658119658,432,117
patient44,0.0,0.9145299145299145,432,117
patient44,1.0,0.7264957264957265,432,117
patient44,10.0,0.8290598290598291,432,117
patient44,100.0,0.905982905982906,432,117
patient44,1000.0,0.8717948717948718,432,117
patient45,0.0,0.9145299145299145,432,117
patient45,1.0,0.7606837606837606,432,117
patient45,10.0,0.8717948717948718,432,117
patient45,100.0,0.8290598290598291,432,117
patient45,1000.0,0.8376068376068376,432,117
patient46,0.0,0.9487179487179487,432,117
patient46,1.0,0.811965811965812,432,117
patient46,10.0,0.8547008547008547,432,117
