target,imp_mean,imp_std,hlth_mean,hlth_std,gap_mean,imp_draw0,imp_draw1,imp_draw2,imp_draw3,imp_draw4,hlth_draw0,hlth_draw1,hlth_draw2,hlth_draw3,hlth_draw4
patient23,0.6581196581196582,0.06464160820919332,0.6478632478632479,0.058320417467459744,0.010256410256410331,0.6923076923076923,0.7692307692307693,0.6239316239316239,0.5982905982905983,0.6068376068376068,0.7094017094017094,0.6324786324786325,0.5470085470085471,0.6495726495726496,0.7008547008547008
patient24,0.6102564102564103,0.0565912661786217,0.6085470085470085,0.07859530894066769,0.0017094017094018144,0.5384615384615384,0.5641025641025641,0.6666666666666666,0.6837606837606838,0.5982905982905983,0.6923076923076923,0.6153846153846154,0.47863247863247865,0.5726495726495726,0.6837606837606838
patient28,0.8735042735042736,0.02614881801842451,0.8683760683760685,0.025697942527133165,0.00512820512820511,0.8632478632478633,0.8888888888888888,0.8803418803418803,0.8290598290598291,0.905982905982906,0.8376068376068376,0.8888888888888888,0.8376068376068376,0.8803418803418803,0.8974358974358975
patient30,0.7794871794871796,0.049069060151819936,0.8495726495726496,0.09663790786394921,-0.07008547008546995,0.811965811965812,0.6923076923076923,0.8290598290598291,0.8034188034188035,0.7606837606837606,0.8888888888888888,0.7521367521367521,0.9572649572649573,0.9316239316239316,0.717948717948718
patient32,0.6735042735042734,0.03216220123457569,0.6564102564102565,0.07199808440565021,0.017094017094016922,0.7094017094017094,0.6153846153846154,0.6923076923076923,0.6666666666666666,0.6837606837606838,0.7264957264957265,0.7606837606837606,0.5982905982905983,0.5982905982905983,0.5982905982905983
patient34,0.9333333333333333,0.025006391176628697,0.9128205128205128,0.04130955888408402,0.02051282051282055,0.905982905982906,0.9230769230769231,0.9743589743589743,0.9487179487179487,0.9145299145299145,0.9401709401709402,0.8547008547008547,0.9743589743589743,0.905982905982906,0.8888888888888888
patient35,0.6547008547008547,0.05710527551620537,0.611965811965812,0.10656032393510224,0.042735042735042694,0.5982905982905983,0.6837606837606838,0.7521367521367521,0.6324786324786325,0.6068376068376068,0.41025641025641024,0.6495726495726496,0.6837606837606838,0.6068376068376068,0.7094017094017094
patient36,0.6581196581196581,0.09849477121974659,0.7145299145299147,0.03444349005061519,-0.05641025641025654,0.5128205128205128,0.7692307692307693,0.5726495726495726,0.7350427350427351,0.7008547008547008,0.7350427350427351,0.7692307692307693,0.6752136752136753,0.7094017094017094,0.6837606837606838
patient37,0.5829059829059828,0.049069060151819915,0.588034188034188,0.04662626221191748,-0.005128205128205221,0.5042735042735043,0.6324786324786325,0.5470085470085471,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5982905982905983,0.5641025641025641,0.6495726495726496,0.5128205128205128
patient39,0.7726495726495727,0.08190870803904918,0.7435897435897436,0.06773200942276561,0.029059829059829068,0.7264957264957265,0.8290598290598291,0.8290598290598291,0.8461538461538461,0.6324786324786325,0.7435897435897436,0.7350427350427351,0.8547008547008547,0.6410256410256411,0.7435897435897436
patient42,0.8427350427350427,0.05528533890186747,0.7982905982905983,0.08859253688786281,0.0444444444444444,0.8205128205128205,0.9230769230769231,0.8290598290598291,0.8803418803418803,0.7606837606837606,0.7435897435897436,0.8888888888888888,0.811965811965812,0.6581196581196581,0.8888888888888888
patient43,0.8034188034188035,0.11953595717639036,0.5538461538461539,0.044048200775128624,0.24957264957264957,0.9316239316239316,0.5982905982905983,0.8717948717948718,0.8717948717948718,0.7435897435897436,0.5555555555555556,0.6239316239316239,0.5213675213675214,0.49572649572649574,0.5726495726495726
