target,imp_mean,imp_std,hlth_mean,hlth_std,gap_mean,imp_draw0,imp_draw1,imp_draw2,imp_draw3,imp_draw4,hlth_draw0,hlth_draw1,hlth_draw2,hlth_draw3,hlth_draw4
patient5,0.5401709401709403,0.026701708293697973,0.5846153846153846,0.044114488548936556,-0.0444444444444444,0.5384615384615384,0.5213675213675214,0.5384615384615384,0.5128205128205128,0.5897435897435898,0.6068376068376068,0.6324786324786325,0.6153846153846154,0.5555555555555556,0.5128205128205128
patient7,0.8512820512820513,0.012791991065893814,0.8051282051282052,0.05111082525718309,0.0461538461538461,0.8290598290598291,0.8547008547008547,0.8632478632478633,0.8461538461538461,0.8632478632478633,0.8717948717948718,0.8461538461538461,0.7777777777777778,0.8034188034188035,0.7264957264957265
patient12,0.6837606837606838,0.13621690128640365,0.8649572649572649,0.04755701792561898,-0.1811965811965811,0.452991452991453,0.8034188034188035,0.6153846153846154,0.7264957264957265,0.8205128205128205,0.7777777777777778,0.8547008547008547,0.8888888888888888,0.8888888888888888,0.9145299145299145
patient14,0.8478632478632477,0.03261330603134855,0.8017094017094017,0.05653960823432898,0.04615384615384599,0.8888888888888888,0.811965811965812,0.8803418803418803,0.811965811965812,0.8461538461538461,0.7863247863247863,0.8803418803418803,0.8461538461538461,0.7777777777777778,0.717948717948718
patient15,0.9504273504273504,0.02829563308931086,0.8085470085470086,0.0689293851407041,0.14188034188034182,0.9145299145299145,0.9401709401709402,0.9914529914529915,0.9743589743589743,0.9316239316239316,0.8632478632478633,0.7777777777777778,0.9145299145299145,0.7350427350427351,0.7521367521367521
patient16,0.23589743589743586,0.14019178498333454,0.4547008547008547,0.1264726243630353,-0.21880341880341883,0.11965811965811966,0.20512820512820512,0.5042735042735043,0.1282051282051282,0.2222222222222222,0.28205128205128205,0.6324786324786325,0.39316239316239315,0.5641025641025641,0.4017094017094017
patient17,0.8170940170940171,0.09496030367405912,0.7846153846153845,0.09035607033437615,0.032478632478632585,0.9401709401709402,0.7435897435897436,0.6752136752136753,0.8547008547008547,0.8717948717948718,0.6324786324786325,0.7777777777777778,0.9145299145299145,0.811965811965812,0.7863247863247863
patient19,0.7504273504273503,0.11711585048178216,0.6598290598290599,0.1273934419411057,0.09059829059829039,0.7606837606837606,0.6923076923076923,0.8290598290598291,0.5641025641025641,0.905982905982906,0.6495726495726496,0.5470085470085471,0.5897435897435898,0.905982905982906,0.6068376068376068
patient20,0.9162393162393162,0.03799335174511602,0.8,0.1268417535664215,0.11623931623931616,0.8888888888888888,0.9743589743589743,0.9487179487179487,0.8803418803418803,0.8888888888888888,0.8034188034188035,0.5811965811965812,0.7692307692307693,0.8974358974358975,0.9487179487179487
patient22,0.905982905982906,0.03705894596355351,0.9162393162393162,0.033058255736433714,-0.01025641025641022,0.8461538461538461,0.9401709401709402,0.8803418803418803,0.9401709401709402,0.9230769230769231,0.9230769230769231,0.8888888888888888,0.9658119658119658,0.8717948717948718,0.9316239316239316
patient25,0.9094017094017094,0.019187986598840724,0.8923076923076924,0.04761842146045853,0.017094017094017033,0.905982905982906,0.8803418803418803,0.905982905982906,0.9401709401709402,0.9145299145299145,0.8974358974358975,0.9572649572649573,0.8803418803418803,0.9145299145299145,0.811965811965812
patient26,0.6341880341880342,0.022548557193628947,0.7367521367521368,0.01825141581543812,-0.10256410256410264,0.6239316239316239,0.6324786324786325,0.6324786324786325,0.6752136752136753,0.6068376068376068,0.7521367521367521,0.7264957264957265,0.7350427350427351,0.7606837606837606,0.7094017094017094
patient27,0.6666666666666667,0.06880209161537815,0.7162393162393161,0.05053588204818624,-0.0495726495726494,0.6410256410256411,0.8034188034188035,0.6410256410256411,0.6239316239316239,0.6239316239316239,0.717948717948718,0.7948717948717948,0.6410256410256411,0.7350427350427351,0.6923076923076923
patient29,0.8923076923076924,0.02135042050734493,0.8940170940170941,0.027879498171453156,-0.0017094017094017033,0.9145299145299145,0.8717948717948718,0.8632478632478633,0.9145299145299145,0.8974358974358975,0.8547008547008547,0.9316239316239316,0.8974358974358975,0.9145299145299145,0.8717948717948718
patient31,0.6717948717948719,0.07101736094988374,0.5914529914529915,0.07220072506647135,0.08034188034188039,0.6752136752136753,0.7435897435897436,0.6837606837606838,0.5384615384615384,0.717948717948718,0.5897435897435898,0.5213675213675214,0.5811965811965812,0.7264957264957265,0.5384615384615384
