patient,cal_per_gesture,weight,acc
patient4,36,10.0,0.9230769230769231
patient4,36,100.0,0.9401709401709402
patient4,36,1000.0,0.9230769230769231
patient5,3,0.0,0.3333333333333333
patient5,3,1.0,0.811965811965812
patient5,3,10.0,0.7435897435897436
patient5,3,100.0,0.6666666666666666
patient5,3,1000.0,0.6239316239316239
patient5,6,0.0,0.6837606837606838
patient5,6,1.0,0.8290598290598291
patient5,6,10.0,0.7094017094017094
patient5,6,100.0,0.6324786324786325
patient5,6,1000.0,0.6495726495726496
patient5,12,0.0,0.6666666666666666
patient5,12,1.0,0.7350427350427351
patient5,12,10.0,0.6581196581196581
patient5,12,100.0,0.7350427350427351
patient5,12,1000.0,0.7521367521367521
patient5,24,0.0,0.8888888888888888
patient5,24,1.0,0.7692307692307693
patient5,24,10.0,0.8888888888888888
patient5,24,100.0,0.9145299145299145
patient5,24,1000.0,0.9230769230769231
patient5,36,0.0,0.8547008547008547
patient5,36,1.0,0.7094017094017094
patient5,36,10.0,0.8290598290598291
patient5,36,100.0,0.8376068376068376
patient5,36,1000.0,0.8376068376068376
patient6,3,0.0,0.3333333333333333
patient6,3,1.0,0.7692307692307693
patient6,3,10.0,0.7863247863247863
patient6,3,100.0,0.8034188034188035
patient6,3,1000.0,0.8290598290598291
patient6,6,0.0,0.6324786324786325
patient6,6,1.0,0.8290598290598291
patient6,6,10.0,0.8547008547008547
patient6,6,100.0,0.8717948717948718
patient6,6,1000.0,0.8547008547008547
patient6,12,0.0,0.6495726495726496
patient6,12,1.0,0.8290598290598291
patient6,12,10.0,0.8717948717948718
patient6,12,100.0,0.8547008547008547
patient6,12,1000.0,0.8632478632478633
patient6,24,0.0,0.7777777777777778
patient6,24,1.0,0.8632478632478633
patient6,24,10.0,0.8547008547008547
patient6,24,100.0,0.8461538461538461
patient6,24,1000.0,0.8717948717948718
patient6,36,0.0,0.6581196581196581
patient6,36,1.0,0.8717948717948718
patient6,36,10.0,0.8888888888888888
patient6,36,100.0,0.905982905982906
patient6,36,1000.0,0.9145299145299145
patient7,3,0.0,0.3333333333333333
patient7,3,1.0,0.6153846153846154
patient7,3,10.0,0.6837606837606838
patient7,3,100.0,0.7435897435897436
patient7,3,1000.0,0.7777777777777778
patient7,6,0.0,0.7948717948717948
patient7,6,1.0,0.6581196581196581
patient7,6,10.0,0.717948717948718
patient7,6,100.0,0.7435897435897436
patient7,6,1000.0,0.7692307692307693
patient7,12,0.0,0.8803418803418803
patient7,12,1.0,0.6752136752136753
patient7,12,10.0,0.8461538461538461
patient7,12,100.0,0.9230769230769231
patient7,12,1000.0,0.9145299145299145
patient7,24,0.0,0.9487179487179487
patient7,24,1.0,0.7521367521367521
patient7,24,10.0,0.8461538461538461
patient7,24,100.0,0.8888888888888888
patient7,24,1000.0,0.905982905982906
patient7,36,0.0,0.9743589743589743
patient7,36,1.0,0.7521367521367521
patient7,36,10.0,0.8974358974358975
patient7,36,100.0,0.8803418803418803
patient7,36,1000.0,0.9487179487179487
patient8,3,0.0,0.3333333333333333
patient8,3,1.0,0.46153846153846156
patient8,3,10.0,0.6495726495726496
patient8,3,100.0,0.717948717948718
patient8,3,1000.0,0.7777777777777778
patient8,6,0.0,0.9914529914529915
patient8,6,1.0,0.49572649572649574
patient8,6,10.0,0.7264957264957265
patient8,6,100.0,0.811965811965812
patient8,6,1000.0,0.8205128205128205
patient8,12,0.0,0.9829059829059829
patient8,12,1.0,0.717948717948718
patient8,12,10.0,0.8632478632478633
patient8,12,100.0,0.9572649572649573
patient8,12,1000.0,0.9316239316239316
patient8,24,0.0,0.9914529914529915
patient8,24,1.0,0.8632478632478633
patient8,24,10.0,0.9914529914529915
patient8,24,100.0,0.9914529914529915
patient8,24,1000.0,0.9914529914529915
patient8,36,0.0,0.9658119658119658
patient8,36,1.0,0.8717948717948718
patient8,36,10.0,0.9658119658119658
patient8,36,100.0,0.9487179487179487
patient8,36,1000.0,0.9658119658119658
