cal_per_gesture,patient,n_cal,n_test,lda_acc,po_hgb_acc,gm_cal_acc
24,patient22,288,117,0.8632478632478633,0.8888888888888888,0.9914529914529915
24,patient23,288,117,0.8974358974358975,0.9829059829059829,0.9914529914529915
24,patient24,288,117,0.811965811965812,0.8888888888888888,0.905982905982906
24,patient25,288,117,0.7948717948717948,0.7094017094017094,0.6495726495726496
24,patient26,288,117,0.811965811965812,0.9145299145299145,0.8547008547008547
24,patient27,288,117,0.6153846153846154,0.8717948717948718,0.9658119658119658
24,patient28,288,117,1.0,0.8290598290598291,0.9829059829059829
24,patient29,288,117,0.7948717948717948,0.9743589743589743,0.9401709401709402
24,patient30,288,117,0.9316239316239316,0.905982905982906,0.905982905982906
24,patient31,288,117,0.6752136752136753,0.8632478632478633,0.8974358974358975
24,patient32,288,117,0.7863247863247863,0.7777777777777778,0.7264957264957265
24,patient33,288,117,0.7435897435897436,0.9658119658119658,0.6581196581196581
24,patient34,288,117,0.717948717948718,0.8547008547008547,0.9829059829059829
24,patient35,288,117,0.6239316239316239,0.7521367521367521,0.8034188034188035
24,patient36,288,117,0.7606837606837606,0.8290598290598291,0.7521367521367521
24,patient37,288,117,0.9145299145299145,1.0,0.9658119658119658
24,patient38,288,117,0.9401709401709402,0.905982905982906,0.8461538461538461
24,patient39,288,117,0.6837606837606838,0.8888888888888888,0.7692307692307693
24,patient40,288,117,0.8632478632478633,0.9487179487179487,0.9743589743589743
24,patient41,288,117,0.47863247863247865,0.6239316239316239,0.6752136752136753
24,patient42,288,117,0.9401709401709402,0.9914529914529915,0.9658119658119658
24,patient43,288,117,0.8632478632478633,0.8290598290598291,0.9487179487179487
24,patient44,288,117,0.8803418803418803,0.9487179487179487,0.9487179487179487
24,patient45,288,117,0.811965811965812,0.9230769230769231,0.9316239316239316
24,patient46,288,117,0.7863247863247863,0.7863247863247863,0.8888888888888888
24,patient47,288,117,0.905982905982906,0.9401709401709402,0.9401709401709402
24,patient48,288,117,0.7777777777777778,0.6923076923076923,0.8205128205128205
36,patient1,432,117,0.7692307692307693,0.7948717948717948,0.8632478632478633
36,patient2,432,117,0.7435897435897436,0.7863247863247863,0.7863247863247863
36,patient3,432,117,0.8888888888888888,0.6581196581196581,0.7435897435897436
36,patient4,432,117,0.9658119658119658,0.905982905982906,0.9401709401709402
36,patient5,432,117,0.7264957264957265,0.8547008547008547,0.8376068376068376
36,patient6,432,117,0.7863247863247863,0.6495726495726496,0.8803418803418803
36,patient7,432,117,0.9658119658119658,0.9743589743589743,0.905982905982906
36,patient8,432,117,0.9572649572649573,0.9658119658119658,0.9487179487179487
36,patient9,432,117,0.9572649572649573,0.8205128205128205,0.8205128205128205
36,patient10,432,117,0.8376068376068376,0.7350427350427351,0.6581196581196581
36,patient11,432,117,0.6837606837606838,0.7692307692307693,0.6837606837606838
36,patient12,432,117,0.9743589743589743,0.9743589743589743,0.9914529914529915
36,patient13,432,117,1.0,0.9658119658119658,1.0
36,patient14,432,117,0.7777777777777778,0.5641025641025641,0.6923076923076923
36,patient15,432,117,0.8461538461538461,1.0,0.9658119658119658
36,patient16,432,117,0.9230769230769231,1.0,0.9316239316239316
36,patient17,432,117,0.8376068376068376,0.9487179487179487,0.9487179487179487
36,patient18,432,117,0.7435897435897436,0.8376068376068376,0.7863247863247863
36,patient19,432,117,0.6837606837606838,0.9572649572649573,0.8803418803418803
36,patient20,432,117,0.8717948717948718,0.8803418803418803,0.9829059829059829
36,patient21,432,117,0.8717948717948718,0.9743589743589743,0.9829059829059829
36,patient22,432,117,0.7948717948717948,0.8461538461538461,0.9743589743589743
36,patient23,432,117,0.811965811965812,0.9230769230769231,0.9145299145299145
36,patient24,432,117,0.8547008547008547,0.8888888888888888,0.8632478632478633
36,patient25,432,117,0.8717948717948718,0.7094017094017094,0.7350427350427351
36,patient26,432,117,0.905982905982906,0.9230769230769231,0.9487179487179487
36,patient27,432,117,0.7264957264957265,0.9658119658119658,0.9658119658119658
36,patient28,432,117,1.0,0.9914529914529915,1.0
36,patient29,432,117,0.811965811965812,0.9743589743589743,0.9487179487179487
36,patient30,432,117,0.9743589743589743,0.9487179487179487,0.9487179487179487
36,patient31,432,117,0.7606837606837606,0.8717948717948718,0.8632478632478633
36,patient32,432,117,0.811965811965812,0.7606837606837606,0.7350427350427351
36,patient33,432,117,0.7948717948717948,0.9572649572649573,0.8376068376068376
36,patient34,432,117,0.8888888888888888,0.8803418803418803,0.9230769230769231
